id,origine,numero_isic,type_event,date,nature,region,lieu,niveau_gravite,annee
19366,Mobilités,18275,Incendie à bord d’un train,2015-05-30,"Début d'incendie sur le 500957 (X73814 secourue) à Vandières avec intervention
des pompiers.",LOR,Vandières,,2015
19501,Mobilités,18387,Portes ouvertes sur train de voyageurs en circulation,2015-06-13,"Le train GL 4754 s'arrête d'urgence suite au signalement par un voyageur d'une porte ouverte
dans la 3ième voiture.Pas de conséquence.",PCA,Entre la réole et Langon,,2015
21006,Réseau,,Incident grave de signalisation,2015-06-16,Défaillance d'enclenchement mécanique.,AUV,Nogent le rotrou,,2015
,Réseau,,Franchissement intempestif d'un signal d'arrêt fermé,2015-06-25,Franchissement intempestif du C2211 par un Train de Travaux (TTX).,PE,Château Landon,,2015
19754,Réseau,18620,Défaillance voie,2015-07-21,"[r] DEFOA / Découverte, suite à signalement du conducteur du train 6854, d'une déformation de voie , sur voie 2 (km 25,320), avec interdiction de circulation",LR,Nimes,,2015
19791,Réseau,18643,Engagement de gabarit,2015-07-22,[r] Collision du train de travaux ESC (engin de surveillance caténaire) avec un morceau de bois sur wagon acheminé par train n°66122 SNCF Réseau,CEN,entre Monts et Maillé,,2015
19760,Mobilités,,Incendie à bord d’un train,2015-07-23,[m] Incendie dans train avec évacuation voyageur,NPC,Armentières,,2015
19793,Cause Tiers Réseau,,Collision contre animal,2015-07-26,[a] Collision du TER 23771 (US X76500) contre un obstacle (divagation danimaux sauvages) sur voie 1 aux environs du Km 25+ 000 + déraillement sans engagement voie contigüe,LOR,Entre Teting PL & Saint-Avold PL,,2015
19789,Mobilités,,Incendie à bord d’un train,2015-07-27,[m] Incendie dans train TN 121460 avec intervention effective des pompiers,PN,Vert-Galant,,2015
19988,Mobilités,18799,Dérive,2015-08-16,"[m] Dérive de 5 à 10m du train de voyageurs n°130867 de sur voie principale n°15
en gare de Paris Saint Lazare sans conséquence.",PSL,PAris St lazare,,2015
20134,Réseau,,RFC,2015-08-26,Raté de fermeture d'un PN à SAL,LR,Entre Font-Romeu et St-Léocadie - PN SAL n°49,,2015
20098,Mobilités,18888,Franchissement intempestif d'un signal d'arrêt fermé,2015-08-29,[m] FSA d'un sémaphore de BM. Point dangereux non engagé,PAK,Fos-Viguerat,,2015
20135,Réseau,,Franchissement intempestif d'un signal d'arrêt fermé,2015-09-02,[r] - FSANF - franchissement du C104 fermé et talonnage de l'aiguille 104 a,PN,Villemomble,,2015
20225,Réseau,0,Défaillance voie,2015-09-09,"[r] DEFOA / Découverte suite à tournée Mauzin, défaut de géométrie
de voie avec interdiction de circulation",NOR,entre St Valéry en Caux & Motteville,,2015
20390,Mobilités,19096,Incident MD (Plan PUI-PMD),2015-09-23,[m] incident MD type 2,PAK,Miramas (13),,2015
20449,Mobilités,19119,Incendie à bord d’un train,2015-09-28,[m]Incendie sur l'engin moteur thermique n°72176 du train de voyageurs n°11749,CA,Troyes,,2015
20439,Réseau,0,Défaillance voie,2015-09-28,"[r] Défaut géométrie de la Voie de Circulation Est avec interdiction circulation, découvert par Mauzin",PCA,Hourcade triage,,2015
20446,Réseau,,Franchissement intempestif d'un signal d'arrêt fermé,2015-09-28,[r] - FSANF - franchissement du C14 fermé par un TTX,NPC,Valenciennes,,2015
20526,Cause Tiers Réseau,,Défaillance voie,2015-10-06,"[a] Défaut de géométrie de la voie  détecté par Mauzin et  nécessitant
l'arrêt des circulations (autre GID)",AUV,Entre Nevers et Arzembouy EP,,2015
20565,Mobilités,19209,Franchissement intempestif d'un signal d'arrêt fermé,2015-10-09,Franchissement intempestif signal darrêt (C773  Km 0 + 688 sur voie A7) fermé par conducteur « Pilot Paris » (Y8030 HLP) avec engagement du point protégé,PSL,Gare de Paris Saint-Lazare,,2015
20639,Cause Tiers Mobilités,,Franchissement intempestif d'un signal d'arrêt fermé,2015-10-15,[a] Franchissement de Cv,PAK,Miramas (13),,2015
20671,Réseau,0000,Défaillance voie,2015-10-21,[r] Défaut de géométrie de la voie entre Gretz-Armainvilliers et Coulommiers avec VA suite à passage MAUZIN,PE,Entre Gretz-Armainvilliers et Coulommiers,,2015
20666,Cause Tiers Réseau,19286,Collision contre obstacle à un passage à niveau,2015-10-21,[a] Collision contre obstacle à un PN (60) puis déraillement,PCA,Toulenne (33),,2015
20794,Réseau,19362,Incident grave de signalisation,2015-11-03,[A] Deshuntage,AUV,Entre Firminy et Aurec,,2015
20871,Réseau,19375,Incident grave de signalisation,2015-11-03,[a] - RFPN - ouverture prématurée du PN15 au cours de son franchissement par une manoeuvre (suspicion de déshuntage),NPC,Haubourdin,,2015
20815,Mobilités,,Franchissement intempestif d'un signal d'arrêt fermé,2015-11-04,[m] Franchissement SFVb 214 I à Luxembourg Ville par train TER N°86752,ETR,Luxembourg,,2015
21255,Réseau,19682,Mise en oeuvre de travaux sans protection,2015-11-09,"[r] Erreur rave de procédure (Mise en uvre de travaux en dehors dun domaine fermé ou
protégé), avec présence de matériel sur la voie, à l'pproche du train 13030 de SNCF Mobilités.",CEN,entre Ste Paterne et PONT Pierre,,2015
21031,Mobilités,19498,Insuffisance de freinage de train,2015-11-13,[m] Insuffisance freinage sur VP,PN,Saint-Ouen BV (93),,2015
21194,Mobilités,,Franchissement intempestif d'un signal d'arrêt fermé,2015-11-13,"[m] Franchissement d'un Sémaphore de BAPR sans autorisation
et sans respect de la marche à vue",NPC,Don-Sainghin,,2015
21149,Réseau,19584,Dégagement intempestif du domaine fermé,2015-11-26,[r] Sortie intempestive d'un TTX d'un domaine fermé.,LOR,Thionville,,2015
19625,Mobilités,,Incendie à bord d’un train,2015-07-03,"Dégagement de fumée dans le train 868220 suite à début d'incendie dans le bloc moteur.
Intervention des pompiers er évacuation du train.",PCA,Bussières Galant,,2015
21566,Réseau,0000,Défaillance voie,2015-12-10,[r] défaut de géométrie avec valeur d'arrêt détecté suite à passage Mauzin,PE,Pantin,,2015
21350,Réseau,19732,Défaut de mesures de protection travaux,2015-12-16,[r] Mise en oeuvre de travaux sans mesure de protection,LR,Entre Villeneuve-les-Maguelone et Montpellier,,2015
21384,Mobilités,19755,Franchissement intempestif d'un signal d'arrêt fermé,2015-12-20,[m] Franchissement du FSI 53  par le train N°112325 et talonnage de l'aig 52b.,PE,Aulnay-sous-Bois,,2015
21465,Mobilités,19814,Franchissement intempestif d'un signal d'arrêt fermé,2015-12-29,"[m] Franchissement de Cv 558
[m] Talonnage d'aiguille 719
[m] Nez à nez",CEN,Les Aubrais (45),,2015
,Réseau,,Expédition d'un train sans ordre écrit  de restriction de vitesse,2015-08-17,"Non remise d'ordre écrits RATO à quatre trains de voyageurs pour le PN 16 en raté
d'ouverture",PN,Montsoult,,2015
,Réseau,,Expédition d'un train sans ordre écrit  de restriction de vitesse,2015-07-15,,LOR,Andilly,,2015
21649,Cause Tiers Réseau,19910,Déraillement,2016-01-14,"[a] Collision du train 49200 avec un camion au PN 49 SAL2 (non inscrit au PSN) puis déraillement.
Conducteur du train blessé au genou. Loc & 21 wagons déraillés.",LOR,Beuveille,4.0,2016
21673,Mobilités,,Portes ouvertes sur train de voyageurs en circulation,2016-01-16,[m] Porte ouverte en ligne sur train N° 17763 signalée par un voyageur à l'ASCT.,BFC,Entre Laroche-Migennes & St-Florentin-Vergigny,3.0,2016
21734,Mobilités,,Portes ouvertes sur train de voyageurs en circulation,2016-01-21,[m] Porte ouvertes en ligne signalée par un voyageur à l'ASCT du train N°830905.,AL,Mundolsheim,3.0,2016
22031,Réseau,,Expédition d'un train sans ordre écrit  de restriction de vitesse,2016-02-04,"[r] Dépassement de vitesse supérieur à 40 km/h consécutif à l'expédition
de 2 trains sans ordre suite à détresse du train 5900 conduisant au raté d'ouverture du PN24.",PSE,Ferrières Fontenay,4.0,2016
22079,Mobilités,20183,Dérive,2016-02-14,"[m] Défaut immobilisation entrainant une dérive de faible amplitude du TER 850632 (US Z27500  Z27659)
sur voie 3 avec avaries au matériel roulant et à l'infrastructure (heurtoir).",NOR,Gare de Yvetot,4.0,2016
22236,Réseau,,Défaillance voie,2016-02-18,[r] Dépassement des normes de nivellement découvert par Mauzin et nécessitant une valeur d'arrêt.,PCA,Hourcade,4.0,2016
22349,Mobilités,20342,Engagement de gabarit,2016-03-06,[m] Heurt au dépassement suite à engagement de gabarit d'une pièce (trappe) du train croiseur.,PCA,Vayres,4.0,2016
22451,Réseau,20422,Incident grave de signalisation,2016-03-15,[r] Modification intempestive d'itinéraire   devant le train 867225 en phase de départ.,PCA,Dax,4.0,2016
22434,Réseau,,Erreur grave de procédure,2016-03-15,[r]  Travaux préparatoires sur voies circulées avec un raté d'annonce pour le 6219 [procédure Tx].,LR,Vic Mireval,3.0,2016
22498,Réseau,20437,Incident grave de signalisation,2016-03-17,[r]  Dérangement contraire à la sécurité ayant entraîné un franchissement du signal fermé C337 non annoncé.,PRG,LGV Atlantique - PRS 45,4.0,2016
22518,Mobilités,,Franchissement intempestif d'un signal d'arrêt fermé,2016-03-23,"[m] Franchissement du CV3014  lors d'une manoeuvre avec talonnage de l'aiguille 3331.
Engagement du point protégé.",LOR,Nancy Ville,3.0,2016
22676,Réseau,20584,Incident grave de signalisation,2016-03-28,"[r] Incident Grave Signalisation pour suppression intempestive
d'un enclenchement mécanique (dérangement contraire à la sécurité) sans conséquence.",PRG,Entre Villeneuve le Roi & Ablon,4.0,2016
22826,Mobilités,,Dépassement de la vitesse limite de plus de 40 km/h,2016-04-03,"[m] Dépassement de vitesse supérieure à  40 km/h   généré par une erreur dans l’application de la restriction de vitesse  après isolement d'un boggie,",PE,Château-Thierry,4.0,2016
22749,Réseau,,Mise en oeuvre de travaux sans protection,2016-04-14,[r] Mise en oeuvre de travaux en dehors du domaine fermé avec situation de danger.,ALP,Entre Aiguebelle et Chamousset PL,3.0,2016
22793,Réseau,20647,Autorisation de franchissement d’un signal fermé,2016-04-15,[r] Delivrance d'une autorisation de franchissement au train n° 859800 de SNCF Mobilités sans vérification préalable.,PCA,Marans,4.0,2016
22803,Mobilités,,Portes ouvertes sur train de voyageurs en circulation,2016-04-18,"[m]  Portes  ouvertes en ligne sur train  TN 165845 ( VB2N ),",PRG,Gare de Dreux,3.0,2016
22861,Mobilités,,Incendie à bord d’un train,2016-04-23,"[m] Incendie engin moteur BB 25650 du TER 857639 (TER PDL  BB 25650 + RRR 01)
 sur voie 3 - avec intervention effective des pompiers.",PDL,Laval,3.0,2016
22856,Réseau,,Dégagement intempestif du domaine fermé,2016-04-24,"[r] Dégagement Intempestif du Domaine Fermé (ZEP 89912), par TTx n° 4, sur voie 2 (VP).",PRG,Massy Palaiseau GC,4.0,2016
22873,Réseau,,RFC,2016-04-26,"[r] Raté de fermeture du PN 9, Pn à SAL 2, non inscrit au PSN,
au passage du train 817948 de SNCF Mobilités. Sans conséquence",MPY,Portet St Simon,4.0,2016
22906,Réseau,,Dégagement intempestif du domaine fermé,2016-04-29,"[r] Dégagement Intempestif du Domaine Fermé (ZEP 5114), par TTx n° 817328, sur voie 4 (VP).",PSL,Sartrouville,4.0,2016
22927,Réseau,,Expédition d'un train sans ordre écrit  de restriction de vitesse,2016-04-29,"[r] Expédition sans ordre prévu du train 3115
suite à raté d'ouverture du PN 69, avec dépassement de vitesse supérieur à 40 km/h",NOR,entreSt Laurent Gainneville & Harfleur,4.0,2016
22917,Mobilités,,Franchissement intempestif d'un signal d'arrêt fermé,2016-04-30,[m] Franchissement de carré avec engagement du point protégé.,RA,Lyon-guillotière,4.0,2016
23134,Mobilités,,Dépassement de la vitesse limite de plus de 40 km/h,2016-05-04,[m] Dépassement de vitesse supérieur à 40 km /h au franchissement d'un PN en Raté d'ouverture (non respect de l'ordre écrit),PCA,Entre Agen et Port-Sainte Marie,4.0,2016
23013,Réseau,,RFC,2016-05-09,"[r] Raté de Fermeture du PN 213 (SAL 2, km 293,772, non inscrit au PSN)
signalé par conducteur du train de voyageurs 861191",PDL,Chacé Varains,4.0,2016
23145,Mobilités,,Incident de Boite d'essieux,2016-05-21,[m] Boite chaude avérée non détectée par un DBC.,RA,Montuel,4.0,2016
23289,Mobilités,,Franchissement intempestif d'un signal d'arrêt fermé,2016-06-07,[m] Franchissement du C111 lors d'une manœuvre de refoulement [Refoulement].,PAK,Nice,4.0,2016
23294,Cause Tiers Réseau,00000,Ouvrage en terre déterioré,2016-06-07,[CTR] coulée de boue signalée par le conducteur du train 842912 avec arrêt des circulations.,RA,St Pol/Ternoise,4.0,2016
23353,Mobilités,21017,Dérive,2016-06-13,"[m] Défaut immobilisation + mouvement de faible amplitude TER 850624
(UM2 Z27500  Z27653T + Z27651Q) + Collision contre heurtoir voie 5.",NOR,Yvetot,3.0,2016
23671,Mobilités,,Portes ouvertes sur train de voyageurs en circulation,2016-07-17,[m] Porte ouverte en circulation sur le train TER 17764 (matériel corail).,PSE,Saint Florentin,3.0,2016
23896,Réseau,,Erreur grave de procédure,2016-07-28,[r] Erreur de procédure lors de la vérification US entrainant le passage de plusieurs trains à vitesse normale sur une zone limitée à 60 km/h.,RA,Aix les bains,4.0,2016
24035,Réseau,,RFC,2016-08-18,[r] Raté de fermeture PN 37 au passage d'un train de SNCF Mobilités. sans conséquence,AUV,Vic le Comte,4.0,2016
24279,Mobilités,,Dérive,2016-09-07,[m] Défaut immobilisation + dérive de faible amplitude train IC 3330 sur voie B en gare.,NMD,Caen,3.0,2016
24306,Mobilités,,Franchissement intempestif d'un signal d'arrêt fermé,2016-09-07,[m] Franchissement du TLC fermé voie  14 par une évolution suivi du  talonnage d'une aiguille TRX puis engagement de la voie principale.,RA,"Lyon Perrache, chantier Lyon Scaronne",3.0,2016
24315,Cause Tiers Réseau,,Déraillement,2016-09-09,[CTR] Déraillement de la première partie du train 17519 suite à collision contre un camion au PN 21.,ALP,Voglans,5.0,2016
24445,Mobilités,,Incendie à bord d’un train,2016-09-19,[m] incendie avec intervention effective des pompiers sur rame  357 du TGV 8393.,CEN,Port de Piles PL,4.0,2016
24471,Réseau,,Défaillance voie,2016-09-19,"[r] Défaut de géométrie, suite à tournée Mauzin, sur aig 83, liaison voie 6 / Voie 2 bis, avec
interdiction de circulation.",PRG,Bretigny,4.0,2016
24609,Mobilités,,Défaillance voie,2016-10-04,"[m] Découverte d'un défaut de géométrie,par le signalement d'una agent gare, voie 1 groupe II, avec interfiction de circulation.",PSL,Bécon les bruyères,4.0,2016
24743,Réseau,,Erreur grave de procédure,2016-10-14,"[r] Travaux (défaillance système d'annonce)  ayant occasionné un risque de heurt de 2 agents par le train n°125733 [procédure Tx],",PN,Sarcelles St Brice,3.0,2016
24786,Réseau,,Erreur grave de procédure,2016-10-18,[r] Circulation du train 893905 sur  voie 1 protégée suite accident de personne.,RA,Entre St-Germain au Mont d-Or et Lozanne,4.0,2016
24788,Réseau,,Défaillance voie,2016-10-18,(r] Défaut de géométrie avec valeur d'arrêt détecté par engin Matisa (surécartement TJD 6ac/5bd).,PE,Château Thierry,4.0,2016
24881,Réseau,,Incident grave de signalisation,2016-10-26,[r] Inefficacité du commutateur de protection C Secteur Ouest Ceinture - Les Suisses voie M1 en position active sur la fermeture du C614.,PRG,Montrouge,4.0,2016
24998,Mobilités,,Dépassement de la vitesse limite de plus de 40 km/h,2016-11-02,[m] Dépassement de vitesse > 40 km/h du train 1742 secouru.,CA,Maranville,4.0,2016
25043,Mobilités,,Dépassement de la vitesse limite de plus de 40 km/h,2016-11-10,"[m] Dépassement de Vitesse Limite > 40 Km/h par le conducteur du TGV 5328
pour non respect ordre « DERA » au franchissement du PN 217.",CEN,Entre Saumur Rive Droite et Port-Boulet,4.0,2016
25159,Réseau,,Expédition d'un train sans ordre écrit  de restriction de vitesse,2016-11-15,"[r] Expédition du train 21171 sans ordre de marche au pas pour rail cassé  . Le train a abordé la zone
concernée à 60km/h.",PRG,Orly,4.0,2016
25189,Réseau,,Expédition d'un train sans ordre écrit  de restriction de vitesse,2016-11-17,[r] Expédition de 2 trains sans avis d'enrayage et de 6 trains avec des ordres d'avis d'enrayage (AVEN) erronés (Km).,PRG,Rambouillet,4.0,2016
25192,Réseau,,Expédition d'un train sans ordre écrit  de restriction de vitesse,2016-11-19,[r] Expédition   de 4 trains sans avis d'enrayage.,PRG,Rambouillet,4.0,2016
25804,Réseau,22442.0,Expédition d'un train sans ordre écrit  de restriction de vitesse,2016-11-19,Expédition sans ordre prévu aux circulations suite à enrayage important à Melun (source contrôle de niveau 1),PSE,Melun,4.0,2016
25214,Cause Tiers Réseau,,Franchissement intempestif d'un signal d'arrêt fermé,2016-11-22,"Franchissement intempestif par le conducteur du TER 16782
du C 434  fermé  avec engagement du point protégé suite à enrayage important.",PRG,Versailles-Chantiers,4.0,2016
25308,Mobilités,,Dérive,2016-11-22,[m] Défaut d'immobilisation d'un train TN (Z50000) entrainant une remise en mouvement en sens inverse de 5 mètres portes ouvertes pendant la desserte voyageurs.,PN,Pierrelaye,4.0,2016
25321,Réseau,,Déraillement,2016-11-29,[r] Déraillement sur l'aiguille T avec engageant de la VP lors de l'évolution d'un train vide TER. (NVI).,MPY,Lisle Jourdain,3.0,2016
25344,Réseau,,Incident grave de signalisation,2016-11-30,"[r] Inefficacité d'un Commutateur de protection (Pt SE 32)  ayant entrainé une réalimentation intempestive, d'une caténaire consignée par l'évolution 608802.",PDL,Chantenay,4.0,2016
25379,Réseau,,Accident de personne,2016-12-06,[r] Heurt mortel  par le Train N° 837594 d'un agent SNCF en intervention.,LOR,Nancy,6.0,2016
25934,Mobilités,,Dépassement de la vitesse limite de plus de 40 km/h,2017-01-06,[m] Non respect de la marche restrictive par le conducteur  du train N° 45269 entrainant une  DVL > 40 km/h sur une distance de 70m.,LOR,Herny,3.0,2017
25728,Mobilités,,Portes ouvertes sur train de voyageurs en circulation,2017-01-09,[m] Signalement d'une porte ouverte sur le TGV 5460/1 à l'arrivée en gare.,AL,Strasbourg,3.0,2017
25794,Réseau,22516,Autorisation de franchissement d’un signal fermé,2017-01-10,"[r] Autorisation de franchissement d'un signal Carré avec un itinéraire non formé et sans prise de mesure vis à
vis des circulations de sens contraire (CF).",ALP,Grenoble,4.0,2017
26209,Réseau,22845,Ouvrage en terre déterioré,2017-03-02,"[r] Ecrasement de cailloux sur la voie par  le train  n°72328  suite à un éboulement provoquant des dégâts
matériels mineurs sur l'engin et un arrêt des circulations voie 2.",CA,Bar sur Aube,4.0,2017
26208,Cause Tiers Réseau,22869,Collision contre obstacle à un passage à niveau,2017-03-03,"[CTR] Collision du train 3837  avec un véhicule routier au PN 481 provoquant un  engin moteur déraillé.
La conductrice du véhicule est décédée.",PCA,Bussac,6.0,2017
26256,Réseau,22913,Franchissement intempestif d'un signal d'arrêt fermé,2017-03-09,[r] Franchissement du carré C1641 par le train de travaux 816291 de SNCF Réseau. Prise en écharpe et déraillement de deux wagons.,AL,Sélestat,5.0,2017
26318,Mobilités,,Portes ouvertes sur train de voyageurs en circulation,2017-03-19,[m] Porte ouverte signalée par un voyageur sur le train n°25674.,AN,Villeneuve-sur-Allier,3.0,2017
26378,Réseau,23018,Engagement intempestif d'un train sur une voie protégée pour des travaux,2017-03-27,[r] Engagement d'une voie protégée suite à défaut de réalisation d'une protection du personnel accordée par un agent circulation au conducteur du train n°834919 (CF).,AL,Kalhausen,3.0,2017
26771,Réseau,23358,Incident grave de signalisation,2017-04-06,[r] Séquence d'annonce Transmission Voie Machine (TVM) anormale  sur le TGV 8401 (0 CAB au lieu de 160 E)  (?).,CE,St Avertin,4.0,2017
26592,Mobilités,,Portes ouvertes sur train de voyageurs en circulation,2017-04-24,[m] Porte ouverte en ligne lors de la circulation du train TER N° 886139 .,RA,"Entre Le Péage de Roussillon et St Rambert
d'Albon",3.0,2017
26658,Réseau,23256,circulation intempestive d’un train en sens inverse,2017-05-02,[r] Engagement d'un TTx de SNCF Réseau en sens inverse du sens normal sur voie non protégée. (CF),AN,Lapeyrouse,4.0,2017
26769,Mobilités,,Franchissement intempestif d'un signal d'arrêt fermé,2017-05-17,[m] Franchissement d'un signal d'itinéraire par un tram train (ligne T4) avec engagement du point protégé.,PE,Aulany sous bois,4.0,2017
26781,Mobilités,,Franchissement intempestif d'un signal d'arrêt fermé,2017-05-20,"[m] Franchissement intempestif du C 16fermé, avec engagement du point protégé (aiguille 1a)
par le conducteur du train TN 164489.",PRG,Paris-Montparnasse,4.0,2017
,Réseau,23605,Autorisation de franchissement d’un signal fermé,2017-06-14,[r] Délivrance d'un bulletin CBa au TTx dérouleur pour engagement sur voie principale interceptée sans consultation des conditions d'ouverture du signal (CF).,PRG,Angerville,4.0,2017
27100,Mobilités,,Déraillement,2017-06-27,[m] Déraillement du train n°43308 à l'entrée du faisceau de St Jean de Maurienne sur aiguille 208.,ALP,St Jean de Maurienne,4.0,2017
,Réseau,23674,Erreur grave de procédure,2017-06-29,"[r] Présence inopinée d'un agent dans la zone dangereuse hors domaine fermé
entraînant le freinage d'urgence du train 852032.",NOR,Lisieux,4.0,2017
27174,Mobilités,,Mise en mouvement sans autorisation,2017-07-05,"[m] Suite à mauvaise exécution de l''arrêt en gare, le conducteur du train 6169 se remet en marche
pour une mise à quai avec les portes ouverte et la descente de clients sur la voie.",PAK,Toulon,3.0,2017
,Réseau,23828,Réception sur voie occupée,2017-07-25,[r] Réception intempestive d'un train de voyageurs sur une voie occupée par un autre train de voyageurs (CF).,LR,Vauvert,3.0,2017
27358,Mobilités,,Portes ouvertes sur train de voyageurs en circulation,2017-08-01,[m] Départ sans avoir mis en service l'EAS entraînant des portes ouvertes en ligne.,PRG,Versailles Chantier,3.0,2017
27441,Cause Tiers Mobilités,,Incident MD (Plan PUI-PMD),2017-08-10,[m] Perte de confinement sur un wagon chargé de marchandise dangereuse.,AL,Mulhouse Nord,4.0,2017
,Réseau,23968,Défaillance voie,2017-08-21,"[r] Découverte d'un défaut de géométrie de voie lors du passage de la voiture Mauzin
entraînant une interdiction de circulation.",CEN,Rivarennes,4.0,2017
27607,Mobilités,,Franchissement intempestif d'un signal d'arrêt fermé,2017-09-04,"[m] Franchissement intempestif signal d'arrêt C3004 fermé
avec engagement du point protégé, l'aiguille 3002b,",PSE,Saint-Nom la Bretèche,4.0,2017
